year,cee_china_cooperation,china_cooperation,proportion
2011,1046,"42,487",2.46
2012,"1,367","48,536",2.82
2013,"1,610","57,879",2.78
2014,"1,843","68,646",2.68
2015,"2,111","79,401",2.66
2016,"2,533","91,862",2.76
2017,"2,782","104,021",2.67
2018,"3,342","119,825",2.79
2019,"4,260","141,889",3
2020,"4,791","151,785",3.16
,,,
2011-2015,"7,977",296949,2.69
2016-2020,"17,708",609382,2.91
2011-2020,"25,685",906331,2.83
,,,
,,,
"文献类型:  [Review, Article, Proceedings Paper]",,,
"合作国家/地区:  [ALBANIA, BOSNIA & HERZEGOVINA, MACEDONIA, LATVIA, ESTONIA, BULGARIA, SLOVAKIA, CROATIA, SLOVENIA, SERBIA, ROMANIA, GREECE, CZECH REPUBLIC, POLAND, MONTENEGRO, HUNGARY]",,,
基金数据来源:  All Sources,,,
地区类型:  Country/Region,,,
国内/国际合作论文:  All,,,
国家/地区:  [CHINA MAINLAND],,,
,,,
导出日期  2021-11-19. ,,,
InCites 数据集更新日期  2021-10-29. 包含 Web of Science 标引内容 2021-09-30. ,,,
