country,country_cn,2011_2015_papers,2016_2020_papers,2016_2020_rank
USA,美国,137380,264560,1
UNITED KINGDOM,英国,29966,71470,2
AUSTRALIA,澳大利亚,25829,62277,3
CANADA,加拿大,22117,45150,4
GERMANY (FED REP GER),德国,20930,41267,5
JAPAN,日本,25308,38773,6
SINGAPORE,新加坡,13447,26630,7
FRANCE,法国,13617,26522,8
SOUTH KOREA,韩国,11676,21979,9
ITALY,意大利,7181,16689,10
PAKISTAN,巴基斯坦,3190,16284,11
NETHERLANDS,荷兰,7325,16015,12
SWEDEN,瑞典,6886,14561,13
SPAIN,西班牙,5870,13333,14
INDIA,印度,4458,13051,15
RUSSIA,俄罗斯,5008,11963,16
SWITZERLAND,瑞士,5349,11049,17
SAUDI ARABIA,沙特阿拉伯,3739,10941,18
DENMARK,丹麦,4453,10117,19
BELGIUM,比利时,3912,8675,20
BRAZIL,巴西,3415,7195,21
FINLAND,芬兰,2995,7089,22
POLAND,波兰,3252,6866,23
NEW ZEALAND,新西兰,2518,6357,24
AUSTRIA,奥地利,2981,6304,25
MALAYSIA,马来西亚,1757,5919,26
NORWAY,挪威,2991,5887,27
IRAN,伊朗,1427,5659,28
EGYPT,埃及,1314,5420,29
CZECH REPUBLIC,捷克,2450,5063,30
TURKEY,土耳其,2228,4975,31
IRELAND,爱尔兰,2084,4955,32
SOUTH AFRICA,南非,2003,4865,33
PORTUGAL,葡萄牙,2229,4796,34
THAILAND,泰国,1811,4683,35
ISRAEL,以色列,1969,4448,36
GREECE,希腊,2086,4193,37
VIETNAM,越南,967,3731,38
HUNGARY,匈牙利,1901,3673,39
MEXICO,墨西哥,1716,3436,40
ROMANIA,罗马尼亚,1596,3124,41
CHILE,智利,1081,2794,42
UKRAINE,乌克兰,1226,2516,43
COLOMBIA,哥伦比亚,1343,2312,44
QATAR,卡塔尔,757,2211,45
UNITED ARAB EMIRATES,阿联酋,387,2123,46
SERBIA,塞尔维亚,1295,1967,47
SLOVENIA,斯洛文尼亚,1045,1920,48
ARGENTINA,阿根廷,1042,1836,49
SLOVAKIA,斯洛伐克,896,1809,50
CROATIA,克罗地亚,907,1690,51
BULGARIA,保加利亚,693,1621,52
ESTONIA,爱沙尼亚,714,1528,53
LITHUANIA,立陶宛,607,1522,54
BELARUS,白俄罗斯,977,1481,55
NIGERIA,尼日利亚,365,1446,56
INDONESIA,印度尼西亚,422,1446,57
BANGLADESH,孟加拉国,314,1428,58
ARMENIA,亚美尼亚,1063,1403,59
REPUBLIC OF GEORGIA,格鲁吉亚,938,1347,60
PHILIPPINES,菲律宾,473,1341,61
GHANA,加纳,230,1103,62
SRI LANKA,斯里兰卡,340,1055,63
LATVIA,拉脱维亚,97,1028,64
KENYA,肯尼亚,334,955,65
ALGERIA,阿尔及利亚,117,904,66
IRAQ,伊拉克,195,885,67
CYPRUS,塞浦路斯,488,868,68
MOROCCO,摩洛哥,582,864,69
ECUADOR,厄瓜多尔,220,857,70
AZERBAIJAN,阿塞拜疆,470,806,71
NEPAL,尼泊尔,206,774,72
KAZAKHSTAN,哈萨克斯坦,112,712,73
SUDAN,苏丹,184,708,74
ETHIOPIA,埃塞俄比亚,90,708,75
PERU,秘鲁,258,655,76
TUNISIA,突尼斯,131,582,77
LUXEMBOURG,卢森堡,178,502,78
MYANMAR,缅甸,40,495,79
JORDAN,约旦,77,494,80
MONGOLIA,蒙古,137,478,81
LEBANON,黎巴嫩,130,468,82
TANZANIA,坦桑尼亚,77,454,83
ICELAND,冰岛,173,432,84
CUBA,古巴,232,421,85
OMAN,阿曼,100,409,86
PALESTINE,巴勒斯坦,6,378,87
UZBEKISTAN,乌兹别克斯坦,99,368,88
CAMEROON,喀麦隆,97,344,89
KUWAIT,科威特,95,318,90
NORTH KOREA,朝鲜,123,306,91
BRUNEI,文莱,58,246,92
UGANDA,乌干达,74,228,93
URUGUAY,乌拉圭,101,224,94
VENEZUELA,委内瑞拉,102,205,95
YEMEN,也门,24,203,96
PANAMA,巴拿马,76,181,97
RWANDA,卢旺达,34,181,98
MACEDONIA,马其顿,70,178,99
COSTA RICA,哥斯达黎加,51,176,100
ZAMBIA,赞比亚,37,173,101
MALAWI,马拉维,32,168,102
MAURITIUS,毛里求斯,26,168,103
CAMBODIA,柬埔寨,60,163,104
KYRGYZSTAN,吉尔吉斯斯坦,27,159,105
ZIMBABWE,津巴布韦,35,144,106
BAHRAIN,巴林,26,131,107
MONTENEGRO,黑山,11,129,108
BENIN,贝宁,25,126,109
CONGO DEMOCRATIC REPUBLIC,刚果（金）,25,126,110
SYRIA,叙利亚,32,118,111
SIERRA LEONE,塞拉利昂,21,114,112
MALTA,马耳他,17,100,113
SENEGAL,塞内加尔,21,99,114
COTE IVOIRE,科特迪瓦,34,93,115
LAOS,老挝,31,92,116
BOSNIA & HERZEGOVINA,波黑,17,90,117
HONDURAS,洪都拉斯,3,89,118
TAJIKISTAN,塔吉克斯坦,10,85,119
MOZAMBIQUE,莫桑比克,10,84,120
LIBYA,利比亚,10,75,121
NAMIBIA,纳米比亚,18,73,122
BOTSWANA,博茨瓦纳,26,72,123
ALBANIA,阿尔巴尼亚,6,71,124
DOMINICAN REPUBLIC,多米尼加,24,68,125
MONACO,摩纳哥,4,67,126
PARAGUAY,巴拉圭,12,66,127
GUATEMALA,危地马拉,22,63,128
BOLIVIA,玻利维亚,22,63,129
MADAGASCAR,马达加斯加,33,61,130
TOGO,多哥,18,57,131
PAPUA NEW GUINEA,巴布亚新几内亚,21,53,132
FIJI,斐济,27,53,133
MALI,马里,28,51,134
BURUNDI,布隆迪,18,49,135
MOLDOVA,摩尔多瓦,20,47,136
BURKINA FASO,布基纳法索,21,47,137
GUINEA,几内亚,33,46,138
ERITREA,厄立特里亚,7,44,139
SAINT KITTS & NEVIS,圣基茨,20,44,140
NEW CALEDONIA,新喀里多尼亚,17,41,141
JAMAICA,牙买加,16,40,142
BARBADOS,巴巴多斯,10,39,143
TRINIDAD & TOBAGO,特立尼达和多巴哥,21,38,144
BHUTAN,不丹,16,36,145
GREENLAND,格陵兰,55,36,146
MICRONESIA,密克罗尼西亚,2,35,147
GAMBIA,冈比亚,10,31,148
NIGER,尼日尔,15,29,149
AFGHANISTAN,阿富汗,15,29,150
GABON,加蓬,6,28,151
LIBERIA,利比里亚,5,26,152
GRENADA,格林纳达,5,25,153
CONGO PEOPLES REP,刚果（布）,3,23,154
CENT AFR REPUBL,中非,1,19,155
SWAZILAND,斯威士兰,0,18,156
KOSOVO,科索沃,1,17,157
EL SALVADOR,萨尔瓦多,9,16,158
SOUTH SUDAN,南苏丹,0,15,159
GUYANA,圭亚那,4,15,160
COMOROS,科摩罗,1,15,161
VATICAN,梵蒂冈,5,14,162
BAHAMAS,巴哈马,4,14,163
NICARAGUA,尼加拉瓜,4,13,164
SEYCHELLES,塞舌尔,6,13,165
CAPE VERDE,佛得角,3,13,166
FRENCH GUIANA,法属圭亚那,3,13,167
SURINAME,苏里南,3,12,168
HAITI,海地,6,12,169
ANGOLA,安哥拉,2,12,170
SOMALIA,索马里,0,11,171
CHAD,乍得,2,11,172
BERMUDA,百慕大,5,11,173
GUINEA BISSAU,几内亚比绍,2,11,174
LESOTHO,莱索托,8,9,175
VANUATU,瓦努阿图,4,9,176
SAMOA,萨摩亚,1,8,177
SOLOMON ISLANDS,所罗门群岛,3,8,178
MAURITANIA,毛里塔尼亚,0,7,179
TONGA,汤加,0,7,180
LIECHTENSTEIN,列支敦士登,7,7,181
BELIZE,伯利兹,6,6,182
MALDIVES,马尔代夫,5,5,183
EQUATORIAL GUINEA,赤道几内亚,5,5,184
SAN MARINO,圣马力诺,4,4,185
