discipline_category,category_2011_total,category_2016_total,category_increase,category_growth_rate,category_2011_ratio,category_2016_ratio,max_increase_sub,max_growth_sub
农学,289,725,436,1.508650519031142,0.016271606328472497,0.01850811804350046,作物学,水产
医学,2089,4697,2608,1.2484442316898037,0.11761725128089634,0.11990707648320229,临床医学,护理学
历史学,48,126,78,1.625,0.002702550532064636,0.0032165832737669764,考古学,考古学
哲学,31,81,50,1.6129032258064515,0.0017453972186250773,0.0020678035331359135,哲学,哲学
工学,5987,15318,9331,1.558543510940371,0.33708687573897866,0.39104462371081383,材料科学与工程,林业工程
教育学,307,724,417,1.3583061889250814,0.017285062777996733,0.018482589604819768,教育学,体育学
文学,31,85,54,1.7419354838709677,0.0017453972186250773,0.0021699172878586748,新闻传播学,新闻传播学
法学,186,400,214,1.1505376344086022,0.010472383311750464,0.010211375472276116,社会学,民族学
理学,8144,15326,7182,0.8818762278978389,0.4585327402736332,0.3912488512202594,物理学,生态学
管理学,472,1081,609,1.2902542372881356,0.02657508023196892,0.027596242213826203,管理科学与工程,工商管理
经济学,14,151,137,9.785714285714286,0.0007882439051855189,0.0038547942407842336,应用经济学,应用经济学
艺术学,28,60,32,1.1428571428571428,0.0015764878103710377,0.0015317063208414173,音乐与舞蹈学,艺术学理论
跨学科,135,398,263,1.9481481481481482,0.007600923371431789,0.010160318594914735,跨学科,跨学科
