institution,institution_cn,2011_2015_papers,2016_2020_papers,country,2011_2015_rank,2016_2020_rank,rank_change,share_growth,rank_change_abs
Guizhou Education University,0,9,1,CHINA MAINLAND,216,681,465,-0.000640472,465
ShanghaiTech University,0,0,47,CHINA MAINLAND,569,125,-444,0.001403865,444
Qufu Normal University,0,0,43,CHINA MAINLAND,570,137,-433,0.001284387,433
Beijing Neurosurgical Institute,0,7,1,CHINA MAINLAND,253,682,429,-0.000491507,429
Shunde Polytechnic,0,22,5,CHINA MAINLAND,98,510,412,-0.001489264,412
North University of China,0,11,3,CHINA MAINLAND,185,582,397,-0.000729697,397
Yuxi Normal University,0,6,2,CHINA MAINLAND,275,639,364,-0.000387155,364
Jilin Agricultural University,0,0,26,CHINA MAINLAND,571,210,-361,0.000776606,361
Civil Aviation University of China,0,0,24,CHINA MAINLAND,572,217,-355,0.000716867,355
Bohai University,0,8,3,CHINA MAINLAND,231,583,352,-0.00050625,352
Shihezi University,0,0,22,CHINA MAINLAND,573,227,-346,0.000657128,346
Nanchang Hangkong University,0,4,1,CHINA MAINLAND,345,683,338,-0.00026806,338
Aba Teachers University,0,4,1,CHINA MAINLAND,346,684,338,-0.00026806,338
Southwest Medical University,0,0,20,CHINA MAINLAND,574,241,-333,0.000597389,333
Zhaoqing University,0,0,20,CHINA MAINLAND,575,242,-333,0.000597389,333
"Institute of Chinese Materia Medica, CACMS",0,5,2,CHINA MAINLAND,307,640,333,-0.000312673,333
Beibu Gulf University,0,0,19,CHINA MAINLAND,576,249,-327,0.00056752,327
Yulin Normal University,0,0,19,CHINA MAINLAND,577,250,-327,0.00056752,327
Zhejiang Provincial People's Hospital,0,0,19,CHINA MAINLAND,578,251,-327,0.00056752,327
China Three Gorges University,0,0,18,CHINA MAINLAND,579,260,-319,0.00053765,319
Institute of Basic Medical Sciences - CAMS,0,8,4,CHINA MAINLAND,230,548,318,-0.000476381,318
Northeast Agricultural University - China,0,0,17,CHINA MAINLAND,580,270,-310,0.000507781,310
"Institute of Computing Technology, CAS",0,13,6,CHINA MAINLAND,165,469,304,-0.000789054,304
Hebei University of Engineering,0,3,1,CHINA MAINLAND,382,685,303,-0.000193578,303
MinNan Normal University,0,3,1,CHINA MAINLAND,383,686,303,-0.000193578,303
Guilin University of Technology,0,0,16,CHINA MAINLAND,581,282,-299,0.000477912,299
Jiangxi Agricultural University,0,8,5,CHINA MAINLAND,228,511,283,-0.000446511,283
Chinese Hypertension League,0,8,5,CHINA MAINLAND,229,512,283,-0.000446511,283
"Ningbo Institute of Materials Technology and Engineering, CAS",0,1,32,CHINA MAINLAND,458,177,-281,0.000881341,281
Yunnan Normal University,0,0,15,CHINA MAINLAND,582,303,-279,0.000448042,279
Zhengzhou University of Light Industry,0,0,15,CHINA MAINLAND,583,304,-279,0.000448042,279
Southwest Minzu University,0,6,4,CHINA MAINLAND,274,549,275,-0.000327416,275
Shandong Technology & Business University,0,10,6,CHINA MAINLAND,198,470,272,-0.000565607,272
"Institute of Software, CAS",0,10,6,CHINA MAINLAND,199,471,272,-0.000565607,272
Jiangxi Normal University,0,18,9,CHINA MAINLAND,122,394,272,-0.001071857,272
Southwest University of Science & Technology - China,0,2,51,CHINA MAINLAND,384,115,-269,0.001374378,269
Jinggangshan University,0,3,2,CHINA MAINLAND,376,641,265,-0.000163708,265
Suzhou University of Science & Technology,0,3,2,CHINA MAINLAND,377,642,265,-0.000163708,265
Liaoning Petrochemical University,0,3,2,CHINA MAINLAND,378,643,265,-0.000163708,265
Dalian Ocean University,0,3,2,CHINA MAINLAND,379,644,265,-0.000163708,265
Baise University,0,3,2,CHINA MAINLAND,380,645,265,-0.000163708,265
"Guang'anmen Hospital, CACMS",0,3,2,CHINA MAINLAND,381,646,265,-0.000163708,265
Xuzhou Medical College,0,0,14,CHINA MAINLAND,584,321,-263,0.000418173,263
Army Engineering University of PLA,0,0,14,CHINA MAINLAND,585,322,-263,0.000418173,263
Liaoning Normal University,0,1,27,CHINA MAINLAND,459,205,-254,0.000731993,254
Chongqing University of Technology,0,0,13,CHINA MAINLAND,586,333,-253,0.000388303,253
Dalian University of Foreign Languages,0,0,13,CHINA MAINLAND,587,334,-253,0.000388303,253
Dalian Maritime University,0,25,12,CHINA MAINLAND,85,335,250,-0.001503625,250
Henan University of Technology,0,5,4,CHINA MAINLAND,305,550,245,-0.000252934,245
"Guangzhou Institute of Biomedicine & Health, CAS",0,5,4,CHINA MAINLAND,306,551,245,-0.000252934,245
Changsha University of Science & Technology,0,1,24,CHINA MAINLAND,460,216,-244,0.000642385,244
Guangdong University of Foreign Studies,0,6,5,CHINA MAINLAND,271,513,242,-0.000297547,242
Xi'an University of Posts & Telecommunications,0,6,5,CHINA MAINLAND,272,514,242,-0.000297547,242
Guangxi Academy of Agricultural Sciences,0,6,5,CHINA MAINLAND,273,515,242,-0.000297547,242
Guangdong Ocean University,0,4,3,CHINA MAINLAND,343,584,241,-0.000208321,241
Shandong Academy of Agricultural Sciences,0,4,3,CHINA MAINLAND,344,585,241,-0.000208321,241
