discipline,discipline_cn,paper_n,country_cn,discipline_code,discipline_category
0702 Physics,物理学,1033,保加利亚,07,理学
0704 Astronomy,天文学,341,保加利亚,07,理学
1002 Clinical Medicine,临床医学,126,保加利亚,10,医学
0804 Instrumentation Science and Technology,仪器科学与技术,116,保加利亚,08,工学
0710 Biology,生物学,84,保加利亚,07,理学
0827 Nuclear Science and Technology,核科学与技术,82,保加利亚,08,工学
1001 Basic Medicine,基础医学,55,保加利亚,10,医学
0703 Chemistry,化学,53,保加利亚,07,理学
0830 Environmental Science and Engineering,环境科学与工程,45,保加利亚,08,工学
0701 Mathematics,数学,44,保加利亚,07,理学
0805 Materials Science and Engineering,材料科学与工程,37,保加利亚,08,工学
0820 Oil and Natural Gas Engineering,石油与天然气工程,37,保加利亚,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,37,保加利亚,10,医学
0812 Computer Science and Technology,计算机科学与技术,35,保加利亚,08,工学
0402 Psychology,心理学,31,保加利亚,04,教育学
1400 Cross-field,,30,保加利亚,14,跨学科
0708 Geophysics,地球物理学,29,保加利亚,07,理学
0803 Optical Engineering,光学工程,28,保加利亚,08,工学
0814 Civil Engineering,土木工程,26,保加利亚,08,工学
0706 Atmospheric Science,大气科学,25,保加利亚,07,理学
0801 Mechanics,力学,25,保加利亚,08,工学
0802 Mechanical Engineering,机械工程,25,保加利亚,08,工学
1010 Medical Technology,医学技术,24,保加利亚,10,医学
0401 Education,教育学,23,保加利亚,04,教育学
0810 Information and Communication Engineering,信息与通信工程,23,保加利亚,08,工学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,22,保加利亚,08,工学
0835 Software Engineering,软件工程,22,保加利亚,08,工学
1009 Special Medicine,特种医学,22,保加利亚,10,医学
0811 Control Science and Engineering,控制科学与工程,21,保加利亚,08,工学
1201 Management Science and Engineering,管理科学与工程,21,保加利亚,12,管理学
0713 Ecology,生态学,20,保加利亚,07,理学
0714 Statistics,统计学,20,保加利亚,07,理学
0806 Metallurgical Engineering,冶金工程,20,保加利亚,08,工学
0831 Biomedical Engineering,生物医学工程,19,保加利亚,08,工学
0836 Biotechnology and Bioengineering,生物工程,19,保加利亚,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,18,保加利亚,08,工学
1007 Pharmaceutical Science,药学,17,保加利亚,10,医学
0832 Food Science and Engineering,食品科学与工程,16,保加利亚,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,15,保加利亚,08,工学
