institution,institution_cn,2011_2015_papers,2016_2020_papers,country,2011_2015_rank,2016_2020_rank,rank_change,share_growth,rank_change_abs
Soltan Institute for Nuclear Studies,索尔坦核研究所,261,3,POLAND,32,404,-372,-0.00897009,372
Children's Memorial Health Institute,,2,50,POLAND,396,142,254,0.0008079,254
Polish Mother's Memorial Hospital - Research Institute,,1,35,POLAND,419,180,239,0.000579358,239
Henry Dunant Hospital,,8,1,GREECE,227,445,-218,-0.000259017,218
Institute of Physics Zagreb,,12,4,CROATIA,177,392,-215,-0.000344674,215
Wielkopolskie Centrum Onkologii,,6,1,POLAND,248,446,-198,-0.000189878,198
Riga Technical University,,7,496,LATVIA,233,37,196,0.00845824,196
Institute of Mathematical Statistics & Applied Mathematics of Romanian Academy,,1,19,ROMANIA,442,249,193,0.000298705,193
University of Montenegro,,5,117,MONTENEGRO,274,83,191,0.001879423,191
Hellenic Centre for Marine Research,,1,16,GREECE,457,271,186,0.000246083,186
Mammal Research Institute of the Polish Academy of Sciences,,6,1,POLAND,263,447,-184,-0.000189878,184
Institute of Photonics & Electronics of the Czech Academy of Sciences,,6,1,CZECH REPUBLIC,265,448,-183,-0.000189878,183
George Papanikolaou General Hospital of Thessaloniki,,62,21,GREECE,57,234,-177,-0.00177497,177
Technical University Liberec,,3,44,CZECH REPUBLIC,329,154,175,0.000668085,175
National Medicines Institute Lekow (NIL),,6,2,POLAND,259,426,-167,-0.000172337,167
Institute of Human Genetics of the Polish Academy of Sciences,,7,3,POLAND,240,405,-165,-0.000189366,165
Hungarian Research Institute for Linguistics,,1,14,HUNGARY,454,290,164,0.000211001,164
University of Western Macedonia,,79,25,GREECE,48,210,-162,-0.002292493,162
Museum & Institute of Zoology of the Polish Academy of Sciences,,26,15,POLAND,111,272,-161,-0.000635703,161
University of Tuzla,,1,21,BOSNIA & HERZEGOVINA,400,242,158,0.000333787,158
University of Physical Education,,9,6,HUNGARY,202,354,-152,-0.000205883,152
University Hospital Vinohrady,,2,25,CZECH REPUBLIC,365,216,149,0.00036938,149
"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",,2,21,ROMANIA,390,241,149,0.000299217,149
Institute of Nuclear Chemistry Technology,,5,2,POLAND,280,427,-147,-0.000137767,147
