discipline,discipline_cn,2011_2015_papers,2016_2020_papers,discipline_code,discipline_category,sub_increase,sub_growth_rate
0702 Physics,物理学,3047,4958,7,理学,1911,0.6271742697735477
0703 Chemistry,化学,936,2240,7,理学,1304,1.393162393162393
0805 Materials Science and Engineering,材料科学与工程,671,1976,8,工学,1305,1.9448584202682564
0710 Biology,生物学,959,1893,7,理学,934,0.9739311783107404
0704 Astronomy,天文学,1136,1833,7,理学,697,0.613556338028169
1002 Clinical Medicine,临床医学,735,1796,10,医学,1061,1.4435374149659863
0701 Mathematics,数学,786,1519,7,理学,733,0.9325699745547074
0812 Computer Science and Technology,计算机科学与技术,662,1307,8,工学,645,0.974320241691843
0830 Environmental Science and Engineering,环境科学与工程,386,1305,8,工学,919,2.3808290155440415
1001 Basic Medicine,基础医学,545,1137,10,医学,592,1.0862385321100918
0820 Oil and Natural Gas Engineering,石油与天然气工程,243,917,8,工学,674,2.7736625514403292
0708 Geophysics,地球物理学,288,721,7,理学,433,1.5034722222222223
0804 Instrumentation Science and Technology,仪器科学与技术,287,692,8,工学,405,1.411149825783972
0810 Information and Communication Engineering,信息与通信工程,275,626,8,工学,351,1.2763636363636364
1004 Public Health and Preventive Medicine,公共卫生与预防医学,204,506,10,医学,302,1.4803921568627452
0814 Civil Engineering,土木工程,180,487,8,工学,307,1.7055555555555555
1201 Management Science and Engineering,管理科学与工程,222,481,12,管理学,259,1.1666666666666667
0811 Control Science and Engineering,控制科学与工程,220,479,8,工学,259,1.1772727272727272
0801 Mechanics,力学,198,478,8,工学,280,1.4141414141414141
0802 Mechanical Engineering,机械工程,220,477,8,工学,257,1.1681818181818182
0817 Chemical Engineering and Technology,化学工程与技术,177,440,8,工学,263,1.4858757062146892
0827 Nuclear Science and Technology,核科学与技术,163,428,8,工学,265,1.6257668711656441
0806 Metallurgical Engineering,冶金工程,174,427,8,工学,253,1.4540229885057472
0803 Optical Engineering,光学工程,113,401,8,工学,288,2.5486725663716814
1400 Cross-field,跨学科,135,398,14,跨学科,263,1.9481481481481482
0835 Software Engineering,软件工程,204,393,8,工学,189,0.9264705882352942
0713 Ecology,生态学,150,376,7,理学,226,1.5066666666666666
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,158,372,8,工学,214,1.3544303797468353
1010 Medical Technology,医学技术,162,368,10,医学,206,1.271604938271605
0401 Education,教育学,159,363,4,教育学,204,1.2830188679245282
0706 Atmospheric Science,大气科学,143,355,7,理学,212,1.4825174825174825
0831 Biomedical Engineering,生物医学工程,183,350,8,工学,167,0.912568306010929
0836 Biotechnology and Bioengineering,生物工程,191,349,8,工学,158,0.8272251308900523
1007 Pharmaceutical Science,药学,185,339,10,医学,154,0.8324324324324325
